,Low-False,Low-True,Normal-False,Normal-True,SlightlyIncreased-False,SlightlyIncreased-True,Moderate-False,Moderate-True,High-False,High-True,VeryHigh-False,VeryHigh-True
Light Rain Mist,The wet weather may make it very slippery outside. Watch out when walking outside or driving.,A vitamin D supplement is likely to help optimize your genes and protect your health during this wet weather.,The wet weather may make it very slippery outside. Watch out when walking outside or driving.,A vitamin D supplement is likely to help optimize your genes and protect your health during this wet weather.,"Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","To protect your health during this wet weather, consider taking a vitamin D supplement.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement."
Light Rain Showers,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,"Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside."
Light Snow Showers,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Light Snow Blowing Snow Mist,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Light Ice Pellet Showers,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Light Hail Showers,"Watch out for ice, freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice, freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Light Small Hail Showers,"Watch out for ice, freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice, freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Light Thunderstorm,Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too."
Light Thunderstorms and Rain,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.
Light Thunderstorms and Snow,"Try to stay indoors. Due to the cold, stormy weather it will be slippery so take care when driving or walking outside.","Due to the stormy weather, to protect your health consider taking a vitamin D supplement.","Try to stay indoors. Due to the cold, stormy weather it will be slippery so take care when driving or walking outside.","Due to the stormy weather, to protect your health consider taking a vitamin D supplement.","Try to stay indoors. Due to the cold, stormy weather it will be slippery so take care when driving or walking outside.","Due to the stormy weather, to protect your health consider taking a vitamin D supplement.","Even though its stormy and the sun isn't shining, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's stormy, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside. Also consider taking a vitamin D supplement.","Even though its stormy and the sun isn't shining, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's stormy, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside. Also consider taking a vitamin D supplement.","Even though its stormy and the sun isn't shining, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's stormy, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside. Also consider taking a vitamin D supplement."
Light Thunderstorms and Ice Pellets,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.,"During the thunderstorm today, your health is at risk from accidents such as slips and falls. Be very careful going outside and driving.",A vitamin D supplement will likey help protect your health during this stormy weather today. Also beware accidents such as slips and falls.
Light Thunderstorms with Hail,Try to stay indoors. Due to the stormy weather it will be slippery so take care when driving or walking outside.,"Due to the stormy weather, to protect your health consider taking a vitamin D supplement.",Try to stay indoors. Due to the stormy weather it will be slippery so take care when driving or walking outside.,"Due to the stormy weather, to protect your health consider taking a vitamin D supplement.",Try to stay indoors. Due to the stormy weather it will be slippery so take care when driving or walking outside.,"Due to the stormy weather, to protect your health consider taking a vitamin D supplement.","Even though its stormy and the sun isn't shining, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's stormy, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside. Also consider taking a vitamin D supplement.","Even though its stormy and the sun isn't shining, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's stormy, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside. Also consider taking a vitamin D supplement.","Even though its stormy and the sun isn't shining, apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's stormy, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside. Also consider taking a vitamin D supplement."
Light Thunderstorms with Small Hail,Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too.",Protect your health during thunderstorms by avoiding accidents such as driving accidents and slips and falls. Be careful if going outside.,"Taking a vitamin D supplement during the stormy weathy today will likely help protect your health. Watch out for slips and falls, too."
Light Freezing Drizzle,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Light Freezing Rain,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Light Freezing Fog,The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.",The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.",The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Patches of Fog,The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.",The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.",The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Shallow Fog,The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.",The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.",The fog may decrease visibility and create slippery conditions. Be careful if going outside.,"To protect your health during this cold foggy weather, consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the cold foggy weather, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Partial Fog,The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.",The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Overcast,"Even though its cloudy, your impressive genes are protecting your health.",A vitamin D supplement will likely help optimize your genes and protect your health during this cloudy weather.,"Even though its cloudy, your impressive genes are protecting your health.",A vitamin D supplement will likely help optimize your genes and protect your health during this cloudy weather.,"Even though its cloudy, your impressive genes are protecting your health.",A vitamin D supplement will likely help optimize your genes and protect your health during this cloudy weather.,You can protect your health today during this cloudy weather. In the morning apply sunscreen with a minimum of SPF 30 to your face.,"To protect your health during this cloudy weather, consider taking a vitamin D supplement and also apply broad-spectrum sunscreen in the morning.",You can protect your health today during this cloudy weather. In the morning apply sunscreen with a minimum of SPF 30 to your face.,Apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply at 1p. Also consider taking a vitamin D supplement.,You can protect your health today during this cloudy weather. In the morning apply sunscreen with a minimum of SPF 30 to your face.,Apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply at 1p. Also consider taking a vitamin D supplement.
Clear,"Before going outside today, apply broad-spectrum sunscreen in the morning and reapply around 1p.","Before going outside today, apply broad-spectrum sunscreen in the morning and reapply around 1p.","Before going outside today, apply broad-spectrum sunscreen in the morning and reapply around 1p.","Before going outside today, apply broad-spectrum sunscreen in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p.","Before going outside today, apply a broad-spectrum sunscreen with minimum SPF 30 in the morning and reapply around 1p."
Partly Cloudy,Smile! Your genes are protecting your health during this cloudy weather.,Taking a vitamin D supplement is likely to help protect your health during this cloudy weather.,Smile! Your genes are protecting your health during this cloudy weather.,Taking a vitamin D supplement is likely to help protect your health during this cloudy weather.,Smile! Your genes are protecting your health during this cloudy weather.,Taking a vitamin D supplement is likely to help protect your health during this cloudy weather.,"Don't let your guard down during this cloudy day, to protect your health you should apply a broad-spectrum sunscreen with a minimum of SPF 30.","To protect your health, consider taking a vitamin D supplement. And even though it's cloudy, apply a broad-spectrum sunscreen with a minimum of SPF 30.","Don't let your guard down during this cloudy day, to protect your health you should apply a broad-spectrum sunscreen with a minimum of SPF 30.","To protect your health, consider taking a vitamin D supplement. And even though it's cloudy, apply a broad-spectrum sunscreen with a minimum of SPF 30.","Don't let your guard down during this cloudy day, to protect your health you should apply a broad-spectrum sunscreen with a minimum of SPF 30.","To protect your health, consider taking a vitamin D supplement. And even though it's cloudy, apply a broad-spectrum sunscreen with a minimum of SPF 30."
Mostly Cloudy,Be happy! Your genes are protecting your health during this cloudy weather.,Protect your health during this cloudy weather - consider taking a vitamin D supplement.,Be happy! Your genes are protecting your health during this cloudy weather.,Protect your health during this cloudy weather - consider taking a vitamin D supplement.,Be happy! Your genes are protecting your health during this cloudy weather.,Protect your health during this cloudy weather - consider taking a vitamin D supplement.,"Don't let your guard down during this cloudy day, to protect your health you should apply a broad-spectrum sunscreen with a minimum of SPF 30.","To protect your health, consider taking a vitamin D supplement. And even though it's cloudy, apply a broad-spectrum sunscreen with a minimum of SPF 30.","Don't let your guard down during this cloudy day, to protect your health you should apply a broad-spectrum sunscreen with a minimum of SPF 30.","To protect your health, consider taking a vitamin D supplement. And even though it's cloudy, apply a broad-spectrum sunscreen with a minimum of SPF 30.","Don't let your guard down during this cloudy day, to protect your health you should apply a broad-spectrum sunscreen with a minimum of SPF 30.","To protect your health, consider taking a vitamin D supplement. And even though it's cloudy, apply a broad-spectrum sunscreen with a minimum of SPF 30."
Scattered Clouds,Nice genes you got there! Your genes are protecting your health during this cloudy weather.,Consider taking a vitamin D supplement to protect your health during this cloudy weather.,Nice genes you got there! Your genes are protecting your health during this cloudy weather.,Consider taking a vitamin D supplement to protect your health during this cloudy weather.,Nice genes you got there! Your genes are protecting your health during this cloudy weather.,Consider taking a vitamin D supplement to protect your health during this cloudy weather.,You still need to protect yourself during a cloudy day by applying a broad-spectrum sunscreen with a minimum of SPF 30 if you go outside.,Taking a vitamin D supplement & applying a broad-spectrum sunscreen (minimum SPF 30) will protect your health during today's cloudy weather.,You still need to protect yourself during a cloudy day by applying a broad-spectrum sunscreen with a minimum of SPF 30 if you go outside.,Taking a vitamin D supplement & applying a broad-spectrum sunscreen (minimum SPF 30) will protect your health during today's cloudy weather.,You still need to protect yourself during a cloudy day by applying a broad-spectrum sunscreen with a minimum of SPF 30 if you go outside.,Taking a vitamin D supplement & applying a broad-spectrum sunscreen (minimum SPF 30) will protect your health during today's cloudy weather.
Small Hail,Watch out for hail causing slippery conditions. If you have to go outside walk slowly and drive carefully.,"Even with the hail, consider taking a vitamin D supplement. It will help optimize your genes and protect your health today.",Watch out for hail causing slippery conditions. If you have to go outside walk slowly and drive carefully.,"Even with the hail, consider taking a vitamin D supplement. It will help optimize your genes and protect your health today.",Watch out for hail causing slippery conditions. If you have to go outside walk slowly and drive carefully.,"Even with the hail, consider taking a vitamin D supplement. It will help optimize your genes and protect your health today.","Even with the forecast for hail, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health today, consider taking a vitamin D supplement and before going outside apply broad-spectrum sunscreen (at least SPF 30).","Even with the forecast for hail, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health today, consider taking a vitamin D supplement and before going outside apply broad-spectrum sunscreen (at least SPF 30).","Even with the forecast for hail, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health today, consider taking a vitamin D supplement and before going outside apply broad-spectrum sunscreen (at least SPF 30)."
